
[2022/07/22 12:21:02 (JP)] | [Internet unknown] | [Location notDetermined] | [State App in Inactive]:  **** New Start App - iOS 12.4.1 ****
[2022/07/22 12:22:12 (JP)] | [Internet true - wifi] | [Location notDetermined] | [State App in Active]: App becomeActive 1
[2022/07/22 12:22:17 (JP)] | [Internet true - wifi] | [Location notDetermined] | [State App in Active]: setRandomNextTime (UTC): 2022-07-22 04:22:17 +0000
[2022/07/22 12:22:17 (JP)] | [Internet true - wifi] | [Location notDetermined] | [State App in Active]: Login!
[2022/07/22 12:22:17 (JP)] | [Internet true - wifi] | [Location notDetermined] | [State App in Active]: App moves 1
[2022/07/22 12:22:38 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: App becomeActive 1
[2022/07/22 12:22:38 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: Open Screen: MainViewController
[2022/07/22 12:22:42 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: Open DigitalKeysViewController
[2022/07/22 12:22:42 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: getOnlinecheck: true
[2022/07/22 12:22:42 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: getOnlinecheck: true
[2022/07/22 12:22:44 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: isOnline: true
[2022/07/22 12:22:44 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: setLog UnlockFreekeyOperationLogRequest: UnlockFreekeyOperationLogRequest(projectID: Optional("1047"), equip_id: Optional(""), reservedDate: Optional(""), ampm: Optional(""), executionDate: Optional("2022-07-22 10:22:44"), workerID: Optional("W01274"), online: Optional("1"), logType: Optional("FREEKEY_SET_TOKEN"), result: Optional("SUCCESS"))
[2022/07/22 12:22:49 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: isOnline: true
[2022/07/22 12:22:49 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: setLog UnlockFreekeyOperationLogRequest: UnlockFreekeyOperationLogRequest(projectID: Optional("1047"), equip_id: Optional(""), reservedDate: Optional(""), ampm: Optional(""), executionDate: Optional("2022-07-22 10:22:49"), workerID: Optional("W01274"), online: Optional("1"), logType: Optional("FREEKEY_INITIALIZE_SDK"), result: Optional("SUCCESS"))
[2022/07/22 12:22:49 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: isOnline: true
[2022/07/22 12:22:52 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: isOnline: true
[2022/07/22 12:22:52 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: setLog UnlockFreekeyOperationLogRequest: UnlockFreekeyOperationLogRequest(projectID: Optional("1047"), equip_id: Optional("E018947"), reservedDate: Optional("2022-07-22"), ampm: Optional("0"), executionDate: Optional("2022-07-22 10:22:52"), workerID: Optional("W01274"), online: Optional("1"), logType: Optional("FREEKEY_GENERATE_DIGITALKEY"), result: Optional("SUCCESS"))
[2022/07/22 12:22:55 (JP)] | [Internet true - wifi] | [Location authorizedAlways] | [State App in Active]: isOnline: true
